datetime,high,open,close,low,volume,signals,trade_type
2019-12-01 00:00:00,151.38,151.38,147.7,145.7,100263.908,0,
2019-12-01 06:00:00,148.28,147.71,147.2,145.5,100672.354,0,
2019-12-01 12:00:00,152.5,147.21,150.04,147.21,95053.909,0,
2019-12-01 18:00:00,152.0,150.1,150.65,149.23,98503.948,0,
2019-12-02 00:00:00,151.3,150.72,147.97,147.42,99332.212,0,
2019-12-02 06:00:00,150.18,148.0,148.84,146.67,92763.354,0,
2019-12-02 12:00:00,149.54,148.88,147.51,146.9,98514.437,0,
2019-12-02 18:00:00,149.42,147.55,148.59,146.83,105020.907,0,
2019-12-03 00:00:00,149.8,148.59,148.25,148.0,155410.399,0,
2019-12-03 06:00:00,148.85,148.26,146.82,145.62,136427.389,0,
2019-12-03 12:00:00,148.88,146.77,148.08,146.62,121318.408,0,
2019-12-03 18:00:00,148.5,148.09,147.1,146.99,82840.377,0,
2019-12-04 00:00:00,147.16,147.12,143.6,143.03,129086.394,0,
2019-12-04 06:00:00,146.4,143.59,145.49,142.96,126090.723,0,
2019-12-04 12:00:00,152.22,145.45,149.28,145.45,207830.744,0,
2019-12-04 18:00:00,149.93,149.26,145.35,144.25,221396.956,0,
2019-12-05 00:00:00,146.58,145.36,145.69,143.77,124209.484,0,
2019-12-05 06:00:00,146.96,145.67,146.48,145.1,103526.416,0,
2019-12-05 12:00:00,148.88,146.48,147.28,146.34,125361.617,0,
2019-12-05 18:00:00,148.53,147.28,148.04,146.76,88016.395,0,
2019-12-06 00:00:00,148.28,148.08,147.42,146.82,65665.426,0,
2019-12-06 06:00:00,147.74,147.43,146.39,145.66,79255.332,0,
2019-12-06 12:00:00,149.5,146.32,148.31,146.12,108698.493,0,
2019-12-06 18:00:00,148.77,148.25,148.41,147.62,81025.966,0,
2019-12-07 00:00:00,149.42,148.41,148.81,148.0,59000.156,0,
2019-12-07 06:00:00,148.94,148.83,147.88,146.99,54319.941,0,
2019-12-07 12:00:00,148.5,147.88,147.84,147.41,68781.791,0,
2019-12-07 18:00:00,147.96,147.83,147.1,146.77,57083.422,0,
2019-12-08 00:00:00,147.53,147.08,146.87,146.01,55300.036,0,
2019-12-08 06:00:00,148.69,146.88,147.99,146.79,55994.059,0,
2019-12-08 12:00:00,156.25,148.0,150.72,147.73,97282.448,0,
2019-12-08 18:00:00,151.5,150.7,150.41,150.1,52034.327,0,
2019-12-09 00:00:00,150.97,150.41,150.02,149.41,52406.783,0,
2019-12-09 06:00:00,150.3,150.02,149.12,148.59,57974.652,0,
2019-12-09 12:00:00,151.15,149.14,148.0,146.55,124903.203,0,
2019-12-09 18:00:00,148.36,148.0,147.37,146.6,61190.811,0,
2019-12-10 00:00:00,148.39,147.36,147.08,146.14,74315.964,0,
2019-12-10 06:00:00,147.49,147.09,147.2,146.69,52602.043,0,
2019-12-10 12:00:00,147.35,147.17,144.53,144.13,79039.528,0,
2019-12-10 18:00:00,145.89,144.65,145.55,143.78,47895.063,0,
2019-12-11 00:00:00,146.27,145.52,144.89,144.79,34408.632,0,
2019-12-11 06:00:00,146.12,144.89,145.55,144.76,43200.528,0,
2019-12-11 12:00:00,142.87,142.83,142.76,142.74,158.649,0,
2019-12-11 18:00:00,143.38,143.24,143.35,142.44,35607.115,0,
2019-12-12 00:00:00,144.08,143.36,142.26,139.05,102280.587,0,
2019-12-12 06:00:00,144.5,142.28,144.11,141.07,95508.241,0,
2019-12-12 12:00:00,144.98,144.11,143.87,141.74,108820.841,0,
2019-12-12 18:00:00,145.8,143.89,144.8,143.72,65468.145,0,
2019-12-13 00:00:00,145.2,144.8,144.6,144.15,39585.146,0,
2019-12-13 06:00:00,144.72,144.6,144.37,143.0,53518.534,0,
2019-12-13 12:00:00,145.17,144.37,144.68,143.72,57676.342,0,
2019-12-13 18:00:00,144.91,144.68,144.7,143.93,32288.179,0,
2019-12-14 00:00:00,144.97,144.71,144.43,144.2,21447.728,0,
2019-12-14 06:00:00,144.43,144.43,143.17,142.13,56787.276,0,
2019-12-14 12:00:00,143.2,143.17,141.98,141.05,68924.447,0,
2019-12-14 18:00:00,142.61,141.99,141.77,141.7,39877.216,0,
2019-12-15 00:00:00,141.89,141.77,141.06,139.89,61439.092,0,
2019-12-15 06:00:00,144.0,141.06,142.71,140.37,89210.385,0,
2019-12-15 12:00:00,143.32,142.71,142.65,141.91,46105.03,0,
2019-12-15 18:00:00,143.05,142.65,142.39,141.89,33975.327,0,
2019-12-16 00:00:00,142.63,142.46,141.22,140.6,49887.472,0,
2019-12-16 06:00:00,141.88,141.2,141.05,140.02,69321.713,0,
2019-12-16 12:00:00,142.15,141.05,141.06,140.55,59552.459,0,
2019-12-16 18:00:00,141.21,141.06,132.59,128.59,374834.515,0,
2019-12-17 00:00:00,132.84,132.6,131.59,130.66,57073.461,0,
2019-12-17 06:00:00,132.2,131.6,132.13,130.7,64875.829,0,
2019-12-17 12:00:00,132.28,132.13,127.35,125.32,244293.675,0,
2019-12-17 18:00:00,127.65,127.31,121.87,119.1,247232.575,0,
2019-12-18 00:00:00,125.73,121.9,123.15,121.2,156984.125,0,
